x,t,u
0.09375,0.01,0.972087886
0.125,0.01,0.947961033
0.15625,0.01,0.917055879
0.1875,0.01,0.880041876
0.21875,0.01,0.837719885
0.25,0.01,0.790992427
0.28125,0.01,0.740829908
0.3125,0.01,0.688234815
0.34375,0.01,0.634206026
0.375,0.01,0.579705287
0.40625,0.01,0.525627674
0.4375,0.01,0.472777428
0.46875,0.01,0.421850017
0.5,0.01,0.373420805
0.53125,0.01,0.327940133
0.5625,0.01,0.285734264
0.59375,0.01,0.247011319
0.625,0.01,0.211871142
0.65625,0.01,0.180317997
0.6875,0.01,0.152275005
0.71875,0.01,0.127599341
0.75,0.01,0.106097345
0.78125,0.01,0.087538892
0.8125,0.01,0.071670513
0.84375,0.01,0.05822694
0.875,0.01,0.046940879
0.90625,0.01,0.037550963
0.9375,0.01,0.029807918
0.96875,0.01,0.023479047
1,0.01,0.018351212
1.03125,0.01,0.014232511
1.0625,0.01,0.010952867
1.09375,0.01,0.008363744
1.125,0.01,0.006337201
1.15625,0.01,0.004764481
1.1875,0.01,0.003554289
1.21875,0.01,0.002630915
1.25,0.01,0.001932308
1.28125,0.01,0.001408184
1.3125,0.01,0.001018251
1.34375,0.01,0.00073057
1.375,0.01,0.000520091
1.40625,0.01,0.000367373
1.4375,0.01,0.00025748
1.46875,0.01,0.000179056
1.5,0.01,0.00012355
1.53125,0.01,8.46E-05
1.5625,0.01,5.75E-05
1.59375,0.01,3.87E-05
1.625,0.01,2.59E-05
1.65625,0.01,1.72E-05
1.6875,0.01,1.13E-05
1.71875,0.01,7.39E-06
1.75,0.01,4.79E-06
1.78125,0.01,3.08E-06
1.8125,0.01,1.97E-06
1.84375,0.01,1.25E-06
1.875,0.01,7.83E-07
1.90625,0.01,4.88E-07
1.9375,0.01,3.02E-07
1.96875,0.01,1.85E-07
2,0.01,1.22E-07
-2,0.02,1.24E-07
-1.96875,0.02,1.86E-07
-1.9375,0.02,3.03E-07
-1.90625,0.02,4.89E-07
-1.875,0.02,7.84E-07
-1.84375,0.02,1.25E-06
-1.8125,0.02,1.97E-06
-1.78125,0.02,3.09E-06
-1.75,0.02,4.80E-06
-1.71875,0.02,7.41E-06
-1.6875,0.02,1.13E-05
-1.65625,0.02,1.72E-05
-1.625,0.02,2.59E-05
-1.59375,0.02,3.88E-05
-1.5625,0.02,5.76E-05
-1.53125,0.02,8.47E-05
-1.5,0.02,0.000123725
-1.46875,0.02,0.000179295
