x,t,u
5,0,4.35E-43
5.03125,0,1.24E-43
5.0625,0,3.52E-44
5.09375,0,9.90E-45
5.125,0,2.76E-45
5.15625,0,7.65E-46
5.1875,0,2.10E-46
5.21875,0,5.73E-47
5.25,0,1.55E-47
5.28125,0,4.16E-48
5.3125,0,1.11E-48
5.34375,0,2.93E-49
5.375,0,7.67E-50
5.40625,0,1.99E-50
5.4375,0,5.15E-51
5.46875,0,1.32E-51
5.5,0,3.35E-52
5.53125,0,8.44E-53
5.5625,0,2.11E-53
5.59375,0,5.24E-54
5.625,0,1.29E-54
5.65625,0,3.15E-55
5.6875,0,7.65E-56
5.71875,0,1.84E-56
5.75,0,4.39E-57
5.78125,0,1.04E-57
5.8125,0,2.44E-58
5.84375,0,5.70E-59
5.875,0,1.32E-59
5.90625,0,3.03E-60
5.9375,0,6.89E-61
5.96875,0,1.56E-61
6,0,3.49E-62
6.03125,0,7.77E-63
6.0625,0,1.71E-63
6.09375,0,3.76E-64
6.125,0,8.16E-65
6.15625,0,1.76E-65
6.1875,0,3.77E-66
6.21875,0,7.99E-67
6.25,0,1.68E-67
6.28125,0,3.52E-68
6.3125,0,7.30E-69
6.34375,0,1.50E-69
6.375,0,3.07E-70
6.40625,0,6.21E-71
6.4375,0,1.25E-71
6.46875,0,2.49E-72
6.5,0,4.93E-73
-1.5,0.01,0.00144178
-1.46875,0.01,0.001668957
-1.4375,0.01,0.002350497
-1.40625,0.01,0.003357336
-1.375,0.01,0.004759733
-1.34375,0.01,0.006695585
-1.3125,0.01,0.00934571
-1.28125,0.01,0.012943567
-1.25,0.01,0.017787443
-1.21875,0.01,0.024254422
-1.1875,0.01,0.032816044
-1.15625,0.01,0.044055426
-1.125,0.01,0.058685451
-1.09375,0.01,0.077567423
-1.0625,0.01,0.101729321
-1.03125,0.01,0.132382567
-1,0.01,0.170935914
-0.96875,0.01,0.219004834
-0.9375,0.01,0.278414561
-0.90625,0.01,0.351194779
-0.875,0.01,0.439563897
-0.84375,0.01,0.545900933
-0.8125,0.01,0.672703233
-0.78125,0.01,0.822528674
-0.75,0.01,0.997921619
-0.71875,0.01,1.201322654
-0.6875,0.01,1.434963163
-0.65625,0.01,1.700746892
-0.625,0.01,2.000121906
-0.59375,0.01,2.33394755
-0.5625,0.01,2.702362226
-0.53125,0.01,3.104658767
-0.5,0.01,3.539174916
-0.46875,0.01,4.003206751
-0.4375,0.01,4.492952757
-0.40625,0.01,5.003495587
-0.375,0.01,5.528827321
-0.34375,0.01,6.061922305
-0.3125,0.01,6.59485937
-0.28125,0.01,7.118992651
-0.25,0.01,7.625167381
-0.21875,0.01,8.103974171
-0.1875,0.01,8.546032575
-0.15625,0.01,8.942292418
-0.125,0.01,9.284339602
-0.09375,0.01,9.56469209
-0.0625,0.01,9.777071581
-0.03125,0.01,9.916636522
0,0.01,9.980156769
0.03125,0.01,9.966280972
0.0625,0.01,9.875030257
0.09375,0.01,9.708790596
0.125,0.01,9.471305836
0.15625,0.01,9.167953602
0.1875,0.01,8.805474629
0.21875,0.01,8.391719328
0.25,0.01,7.935365687
0.28125,0.01,7.445618077
0.3125,0.01,6.931901446
0.34375,0.01,6.403564922
0.375,0.01,5.869607581
0.40625,0.01,5.338437086
0.4375,0.01,4.817669485
0.46875,0.01,4.313975612
0.5,0.01,3.832976699
0.53125,0.01,3.379188994
0.5625,0.01,2.956014728
0.59375,0.01,2.565774669
0.625,0.01,2.209775939
0.65625,0.01,1.888407753
0.6875,0.01,1.601257274
0.71875,0.01,1.34723781
0.75,0.01,1.124722065
0.78125,0.01,0.931673994
0.8125,0.01,0.765773856
0.84375,0.01,0.624532297
0.875,0.01,0.505390499
0.90625,0.01,0.405804676
0.9375,0.01,0.323314234
0.96875,0.01,0.255593853
1,0.01,0.200490495
1.03125,0.01,0.156046839
1.0625,0.01,0.120513018
1.09375,0.01,0.092348693
1.125,0.01,0.070217497
1.15625,0.01,0.052975826
1.1875,0.01,0.039657737
1.21875,0.01,0.029457503
1.25,0.01,0.021711095
1.28125,0.01,0.015877617
1.3125,0.01,0.011521439
1.34375,0.01,0.008295564
1.375,0.01,0.005926563
1.40625,0.01,0.004201242
1.4375,0.01,0.002955087
1.46875,0.01,0.002062437
1.5,0.01,0.001428265
1.53125,0.01,0.00098142
1.5625,0.01,0.000669143
1.59375,0.01,0.000452689
1.625,0.01,0.000303878
1.65625,0.01,0.000202403
1.6875,0.01,0.000133768
1.71875,0.01,8.77E-05
1.75,0.01,5.71E-05
1.78125,0.01,3.69E-05
1.8125,0.01,2.36E-05
1.84375,0.01,1.50E-05
1.875,0.01,9.47E-06
1.90625,0.01,5.92E-06
1.9375,0.01,3.68E-06
1.96875,0.01,2.27E-06
2,0.01,1.39E-06
2.03125,0.01,8.41E-07
2.0625,0.01,5.06E-07
2.09375,0.01,3.02E-07
2.125,0.01,1.79E-07
2.15625,0.01,1.05E-07
2.1875,0.01,6.15E-08
2.21875,0.01,3.56E-08
2.25,0.01,2.04E-08
2.28125,0.01,1.16E-08
2.3125,0.01,6.59E-09
2.34375,0.01,3.70E-09
2.375,0.01,2.06E-09
2.40625,0.01,1.14E-09
2.4375,0.01,6.24E-10
2.46875,0.01,3.39E-10
2.5,0.01,1.83E-10
2.53125,0.01,9.81E-11
2.5625,0.01,5.21E-11
2.59375,0.01,2.75E-11
2.625,0.01,1.44E-11
2.65625,0.01,7.46E-12
2.6875,0.01,3.84E-12
2.71875,0.01,1.97E-12
2.75,0.01,9.97E-13
2.78125,0.01,5.02E-13
2.8125,0.01,2.50E-13
2.84375,0.01,1.24E-13
2.875,0.01,6.10E-14
2.90625,0.01,2.98E-14
2.9375,0.01,1.44E-14
2.96875,0.01,6.92E-15
3,0.01,3.30E-15
3.03125,0.01,1.56E-15
3.0625,0.01,7.31E-16
3.09375,0.01,3.40E-16
3.125,0.01,1.57E-16
3.15625,0.01,7.20E-17
3.1875,0.01,3.28E-17
3.21875,0.01,1.48E-17
3.25,0.01,6.62E-18
3.28125,0.01,2.94E-18
3.3125,0.01,1.30E-18
3.34375,0.01,5.67E-19
3.375,0.01,2.46E-19
3.40625,0.01,1.06E-19
3.4375,0.01,4.52E-20
3.46875,0.01,2.08E-20
3.5,0.01,9.23E-21
3.53125,0.01,3.89E-21
3.5625,0.01,1.62E-21
3.59375,0.01,6.65E-22
3.625,0.01,2.72E-22
3.65625,0.01,1.10E-22
3.6875,0.01,4.43E-23
3.71875,0.01,1.77E-23
3.75,0.01,7.00E-24
3.78125,0.01,2.75E-24
3.8125,0.01,1.07E-24
3.84375,0.01,4.14E-25
3.875,0.01,1.59E-25
3.90625,0.01,6.06E-26
3.9375,0.01,2.29E-26
3.96875,0.01,8.58E-27
4,0.01,3.19E-27
4.03125,0.01,1.18E-27
4.0625,0.01,4.32E-28
4.09375,0.01,1.57E-28
4.125,0.01,5.66E-29
4.15625,0.01,2.03E-29
4.1875,0.01,7.19E-30
4.21875,0.01,2.53E-30
4.25,0.01,8.86E-31
4.28125,0.01,3.07E-31
4.3125,0.01,1.06E-31
4.34375,0.01,3.61E-32
4.375,0.01,1.22E-32
4.40625,0.01,4.12E-33
4.4375,0.01,1.37E-33
4.46875,0.01,4.55E-34
4.5,0.01,1.49E-34
4.53125,0.01,4.87E-35
4.5625,0.01,1.58E-35
4.59375,0.01,5.06E-36
4.625,0.01,1.61E-36
4.65625,0.01,5.09E-37
4.6875,0.01,1.59E-37
4.71875,0.01,4.96E-38
4.75,0.01,1.53E-38
4.78125,0.01,4.69E-39
4.8125,0.01,1.43E-39
4.84375,0.01,4.30E-40
4.875,0.01,1.29E-40
4.90625,0.01,3.82E-41
4.9375,0.01,1.13E-41
4.96875,0.01,3.29E-42
5,0.01,9.54E-43
5.03125,0.01,2.75E-43
5.0625,0.01,7.84E-44
5.09375,0.01,2.22E-44
5.125,0.01,6.25E-45
5.15625,0.01,1.74E-45
5.1875,0.01,4.82E-46
5.21875,0.01,1.33E-46
5.25,0.01,3.61E-47
5.28125,0.01,9.77E-48
5.3125,0.01,2.62E-48
5.34375,0.01,6.98E-49
5.375,0.01,1.84E-49
5.40625,0.01,4.83E-50
5.4375,0.01,1.26E-50
5.46875,0.01,3.25E-51
5.5,0.01,8.31E-52
5.53125,0.01,2.11E-52
5.5625,0.01,5.33E-53
5.59375,0.01,1.33E-53
5.625,0.01,3.31E-54
5.65625,0.01,8.15E-55
5.6875,0.01,1.99E-55
5.71875,0.01,4.83E-56
5.75,0.01,1.16E-56
5.78125,0.01,2.78E-57
5.8125,0.01,6.58E-58
5.84375,0.01,1.55E-58
5.875,0.01,3.61E-59
5.90625,0.01,8.35E-60
5.9375,0.01,1.92E-60
5.96875,0.01,4.37E-61
6,0.01,9.88E-62
6.03125,0.01,2.22E-62
6.0625,0.01,4.94E-63
6.09375,0.01,1.09E-63
6.125,0.01,2.39E-64
6.15625,0.01,5.20E-65
6.1875,0.01,1.12E-65
6.21875,0.01,2.40E-66
6.25,0.01,5.11E-67
6.28125,0.01,1.08E-67
6.3125,0.01,2.25E-68
6.34375,0.01,4.68E-69
6.375,0.01,9.64E-70
6.40625,0.01,1.97E-70
6.4375,0.01,3.99E-71
6.46875,0.01,8.05E-72
6.5,0.01,2.05E-72
-1.5,0.02,0.001495829
-1.46875,0.02,0.001633962
-1.4375,0.02,0.002166542
